title,authors,year,journal,url,crop,locations,data_modalities,methods,evaluation_metrics,in_season_prediction,citations,weather_features,soil_features,satellite_features,other_features,yield_resolution
Annual 30 m winter wheat yield mapping in the Huang-Huai-Hai plain using crop growth model and long-term satellite images,"['Y Zhao', 'H Tao', 'P He', 'X Yao', 'T Cheng', 'Y Zhu', 'et al.']",2023.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169923007238),['Wheat'],['China'],"['Satellite', 'Weather', 'Soil', 'Farm management']","['RF', 'multiple linear regression (MLR)']","['Correlation', 'normalized RMSE', 'RMSE', 'relative error (RE)']",False,20.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'actual evapotranspiration', 'sunshine duration', 'mean temperature']",,"['NDVI', 'NDBI', 'MNDWI', 'GCVI']","['sowing date', 'sowing rate', 'nitrogen rate', 'irrigation rate']","['Pixel/Subfield', '30m', 'County']"
"Applicability of machine learning techniques in predicting wheat yield based on remote sensing and climate data in Pakistan, South Asia","['S Arshad', 'J Kazmi', 'M Javed', 'S Mohammed']",2023.0,European Journal of Agronomy (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1161030123001053),['Wheat'],['Pakistan'],"['Satellite', 'Weather']","['RF', 'SVM', 'LASSO']","['MAE', 'R²', 'RMSE']",False,61.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'humidity', 'wind speed', 'SPEI', 'Potential Evapotranspiration (PET)']",,"['GNDVI', 'NDVI', 'EVI', 'SAVI']",,['District']
"Application of Remote Sensing in an Interaction Regression Model to Enhance Crop Yield Prediction in Selected Regions of the Mekong River Delta, Vietnam","['T Nguyen', 'M Pham', 'C Pham', 'T Thi', 'X Cao', 'T N A Nguyen']",2024.0,Advances in Data Science and Optimization of Complex Systems (Springer),[url](https://books.google.dk/books?id=phyBEQAAQBAJ),['Rice'],['Vietnam'],"['Satellite', 'Weather']","['linear regression', 'LASSO', 'ridge regression (RR)', 'elastic net', 'RF', 'XGBoost', 'stepwise regression', 'interaction regression model']","['RMSE', 'R²', 'MAE', 'relative absolute error (RAE)', 'relative squared error (RSE)']",False,0.0,"['evaporation', 'precipitation', 'maximum temperature', 'rainy days', 'mean temperature', 'minimum temperature', 'humidity', 'solar radiation']",,['NDVI'],,['Province']
"Cereal Yield Forecasting with Satellite Drought-Based Indices, Weather Data and Regional Climate Indices Using Machine Learning in Morocco","['E Bouras', 'L Jarlan', 'S Er-Raki', 'R Balaghi', 'A Amazirh', 'B Richard', 'et al.']",2021.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/13/16/3101),"['Wheat', 'Barley']",['Morocco'],"['Satellite', 'Weather', 'Soil']","['SVM', 'RF', 'XGBoost', 'multiple linear regression (MLR)']","['R²', 'RMSE', 'MAE']",True,100.0,"['precipitation', 'temperature', 'North Atlantic Oscillation (NAO)', 'Scandinavian Pattern (SCA)', 'Sea Surface Temperature (SST)']",['Soil moisture'],"['Land Surface Temperature (LST)', 'NDVI']",,['Province']
Combining Multi-Source Data and Machine Learning Approaches to Predict Winter Wheat Yield in the Conterminous United States,"['Y Wang', 'Z Zhang', 'L Feng', 'Q Du', 'T Runge']",2020.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/12/8/1232),['Wheat'],['USA'],"['Satellite', 'Soil', 'Weather', 'Farm management']","['OLS', 'LASSO', 'SVM', 'RF', 'AdaBoost', 'DNN']","['R²', 'RMSE', 'MAE']",True,186.0,"['land surface temperature', 'mean temperature', 'maximum temperature', 'minimum temperature', 'vapor pressure deficit', 'precipitation', 'dew point temperature']","['organic carbon content', 'nitrogen content', 'bulk density', 'pH', 'sand content', 'clay content']","['EVI', 'NDVI', 'NDWI', 'green chlorophyll index (GCI)']",['previous production (2 years)'],['County']
Comparative assessment of environmental variables and machine learning algorithms for maize yield prediction in the US Midwest,"['Kang, Yanghui', 'Ozdogan, Mutlu', 'Zhu, Xiaojin', 'Ye, Zhiwei', 'Hain, Christopher', 'Anderson, Martha']",2020.0,Environmental Research Letters (IOP),[url](https://iopscience.iop.org/article/10.1088/1748-9326/ab7df9/meta),['Maize'],['USA'],"['Satellite', 'Weather', 'Soil', 'Crop phenology', 'Farm management']","['LASSO', 'support vector regression (SVR)', 'RF', 'XGBoost', 'LSTM', 'CNN']","['Correlation', 'bias', 'RMSE', 'MAPE', 'MAE']",True,238.0,"['precipitation', 'vapor pressure deficit', 'standardized precipitation index (SPI)', 'extreme degree days (EDD)', 'land surface temperature', 'evapotranspiration (ET)', 'Potential Evapotranspiration (PET)', 'water stress', 'palmer drought severity index', 'minimum temperature', 'maximum temperature', 'mean temperature']","['Soil moisture', 'nitrogen content', 'available water content', 'organic matter content']","['green chlorophyll index (GCI)', 'NDWI', 'EVI', 'Land Surface Temperature (LST)', 'surface reflectance', 'visible bands (RGB)', 'SWIR', 'NIR']","['mean yield past 5 years', 'crop progress', 'harvest area']",['County']
Corn grain and silage yield class prediction for zone delineation using high-resolution satellite imagery,"['S Sunoj', 'B Polson', 'I Vaish', 'M Marcaida III', 'et al.']",2024.0,Agricultural Systems (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0308521X24001598),['Corn'],['USA'],"['Satellite', 'Topography']","['RF', 'support vector regression (SVR)', 'logistic regression']",['accuracy'],False,6.0,,,"['brightness index (BI)', 'saturation index (SI)', 'hue index (HI)', 'coloration index (CI)', 'redness index (RI)', 'GNDVI', 'NDVI', 'EVI2', 'simple ratio (SR)', 'GCVI', 'excess green (EXG)', 'triangular greenness index (TGI)']",['elevation'],"['2m', 'Pixel/Subfield']"
"Corn yield prediction in site-specific management zones using proximal soil sensing, remote sensing, and machine learning approach","['B Bantchina', 'M Qaswar', 'S Arslan', 'Y Ulusoy', 'K Gündogdu', 'Y Tekin', 'et al.']",2024.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169924007208),['Corn'],['Turkey'],"['Satellite', 'Soil', 'Farm management']","['decision tree', 'RF', 'KNN']","['R²', 'MAE', 'RMSE']",False,17.0,,"['pH', 'potassium', 'phosporus', 'magnesium', 'calcium', 'clay content', 'silt content', 'sand content']","['LAI', 'NDVI', 'NDRE', 'NDWI', 'SAVI']",['nitrogen rate'],"['Management zone', 'Pixel/Subfield', '2m']"
Crop Yield Estimation and Interpretability With Gaussian Processes,"['L Martinez-Ferrer', 'M Piles', 'G Camps-Valls']",2020.0,IEEE Geoscience and Remote Sensing Letters (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/9173550?casa_token=ddZ9cjx3xI4AAAAA:uAEtdB0mjmsbgn3u-69tXhETF2pgadhHSVSifcrhoxSZzGeO_6crVUJ-OLiwFTbqOumJ9F-i2fk),"['Corn', 'Wheat', 'Soybean']",['USA'],"['Satellite', 'Weather', 'Soil']","['Gaussian Process Regression (GPR)', 'RF', 'OLS']","['mean error (ME)', 'RMSE', 'Pearson correlation coefficient (PCC)']",False,77.0,"['maximum temperature', 'precipitation']",['Soil moisture'],"['EVI', 'vegetation optical depth (VOD)']",,['County']
"Crop Yield Estimation at Gram Panchayat Scale by Integrating Field, Weather and Satellite Data with Crop Simulation Models","['C Milesi', 'M Kukunuri']",2022.0,Journal of the Indian Society of Remote Sensing (Springer),[url](https://link.springer.com/article/10.1007/s12524-021-01372-z),"['Millet', 'Rice']",['India'],"['Satellite', 'Weather', 'Soil']",['light-use-efficiency (LUE) crop growth simulation model'],"['MAE', 'RMSE', 'percent error (PE)', 'Correlation', 'R²', 'MBE', 'normalized mean square error (NMSE)', 'fractional bias', 'Willmott’s index of agreement']",False,13.0,"['precipitation', 'minimum temperature', 'maximum temperature', 'dew point temperature', 'wind', 'solar radiation']","['Soil moisture', 'canopy evapotranspiration']","['LAI', 'fraction of absorbed photosynthetically active radiation (FAPAR)', 'NDVI', 'VH (Sentinel 1)']",,"['City', 'Village']"
Crop yield forecasting and associated optimum lead time analysis based on multi-source environmental data across China,"['L Li', 'B Wang', 'P Feng', 'H Wang', 'Q He', 'Y Wang', 'D Li Liu', 'Y Li']",2021.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192321002422),"['Wheat', 'Maize', 'Rice']",['China'],"['Satellite', 'Weather', 'Soil']",['RF'],"['normalized RMSE', 'Pearson correlation coefficient (PCC)']",True,112.0,"['precipitation', 'SPEI', 'palmer drought severity index', 'climate water deficit', 'TXx', 'TD30', 'TNn', 'FD0 (CD10 or CD12)', 'RX1day', 'SDII', 'mean temperature', 'shortwave radiation', 'actual evapotranspiration']",['Soil moisture'],"['NDVI', 'EVI']",,['Field']
Crop Yield Prediction Using Remote Sensing and Meteorological Data,"['A Shah', 'R Agarwal', 'B Baranidharan']",2021.0,International Conference on Artificial Intelligence and Smart Systems (Proceedings),[url](https://ieeexplore.ieee.org/abstract/document/9395849?casa_token=yfEBL3ATSZQAAAAA:AQnnuMVpezA1u-28JRTBhWhNMcLsVLCfYWxwyri7OkBMo-aSvvwTEVmvIXgREHXDUTvBoLDy),['Rice'],['India'],"['Satellite', 'Weather']","['XGBoost', 'RF', 'Light GBM']","['R²', 'MAPE']",False,22.0,"['precipitation', 'air quality index', 'mean temperature']",,['NDVI'],,['District']
DeepYield: A combined convolutional neural network with long short-term memory for crop yield forecasting,"['K Gavahi', 'P Abbaszadeh', 'H Moradkhani']",2021.0,Expert Systems with Applications (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0957417421009210),"['Soybean', 'Corn']",['USA'],"['Satellite', 'Weather']","['DeepYield (ConvLSTM+3DCNN)', 'decision tree', 'CNN+GP', 'LSTM-CNN', 'ConvLSTM', '3DCNN', 'APSIM+RF']","['Pearson correlation coefficient (PCC)', 'RMSE']",False,181.0,['land surface temperature'],,"['visible bands (RGB)', 'NIR', 'SWIR']",,['County']
"Developing automated machine learning approach for fast and robust crop yield prediction using a fusion of remote sensing, soil, and weather dataset","['A Kheir', 'A Govind', 'V Nangia', 'M Devkota', 'A Elnashar', 'M Omar', 'T Feike']",2024.0,Environmental Research Communications (IOP),[url](https://iopscience.iop.org/article/10.1088/2515-7620/ad2d02/meta),['Wheat'],['Egypt'],"['Satellite', 'Soil', 'Weather', 'Topography']","['ML ensemble', 'XRT', 'DRF', 'XGBoost', 'RF', 'Generalized Linear Models (GLM)', 'Gradient Boosting Machines (GBM)', 'DNN']","['Willmott’s index of agreement', 'R²', 'RMSE', 'MSE', 'MAE', 'Root Mean Squared Logarithmic Error (RMSLE)', 'MRD', 'relative bias (RB)', 'root mean square deviation (RMSD)']",True,42.0,"['maximum temperature', 'minimum temperature', 'solar radiation', 'precipitation']","['sand content', 'silt content', 'clay content', 'organic carbon content', 'pH', 'bulk density', 'organic matter content']","['NDVI', 'EVI', 'GCVI', 'GNDVI', 'wide dynamic range vegetation index (WDRVI)']","['elevation', 'aspect (ASP)', 'slope (SLOP)']",['Field']
Developing machine learning models with multi-source environmental data to predict wheat yield in China,"['L Li', 'B Wang', 'P Feng', 'Q He', 'Y Zhang', 'Y Wang', 'S Li', 'X Lu', 'C Yue', 'Y Li', 'J He', 'et al.']",2022.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169922001077),['Wheat'],['China'],"['Satellite', 'Soil', 'Weather']","['RF', 'SVM']","['R²', 'RMSE']",False,123.0,"['mean temperature', 'precipitation', 'wind speed', 'humidity', 'sunshine duration', 'extreme climate events (ECE)', 'SPEI']","['organic carbon content', 'bulk density', 'cation exchange capacity']","['NDVI', 'EVI', 'NIR reflectance of terrestrial vegetation (NIRv)']",,['Field']
Development and Evaluation of Remote  Sensing-Derived Relative Growth Rate  (RGR) for Rice Yield Estimation,"['Z Zhao', 'F Wang', 'Y Xiao', 'L Liu', 'N Chen', 'W Weng', 'D Peng', 'X Zhang', 'Z Shi']",2025.0,Journal of Selected Topics in Applied Earth Observations and Remote Sensing (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/11189039/),['Rice'],['China'],"['Satellite', 'Crop phenology', 'Soil', 'Weather']","['LASSO', 'RF', 'XGBoost']","['R²', 'RMSE', 'MAI']",False,2.0,"['temperature', 'precipitation', 'solar radiation']","['clay content', 'sand content', 'silt content']","['LAI', 'gross primary production (GPP)', 'NDVI', 'RVI', 'DVI', 'SAVI', 'EVI', 'NDWI']",['phenological stages (and dates)'],['County']
Dynamic wheat yield forecasts are improved by a hybrid approach using a biophysical model and machine learning technique,"['P Feng', 'B Wang', 'D Li Liu', 'C Waters', 'D Xiao', 'L Shi', 'Q Yu']",2020.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192320300241),['Wheat'],['Australia'],"['Satellite', 'Weather', 'Soil', 'Farm management']","['APSIM+RF', 'APSIM+MLR']","['Correlation', 'Lin’s concordance correlation coefficient (LCCC)', 'RMSE', 'MAPE', 'receiver operating characteristic (ROC)']",True,249.0,"['solar radiation', 'precipitation', 'minimum temperature', 'maximum temperature', 'SPEI', 'Agricultural Reference Index for Drought (ARID)']","['organic carbon content', 'phosporus', 'nitrogen content', 'electrical conductivity', 'pH', 'Most dominant soil type', 'hydraulic properties', 'nutrient status']",['NDVI'],"['sowing date', 'Crop variety', 'fertilizer practice']","['Plot', 'Field']"
"Early crop yield prediction for agricultural drought monitoring using drought indices, remote sensing, and machine learning techniques","['P Pandya', 'N Gontia']",2023.0,Journal of Water and Climate Change (IWA),[url](https://iwaponline.com/jwcc/article/14/12/4729/99202/Early-crop-yield-prediction-for-agricultural),"['Cotton', 'Groundnut']",['India'],"['Satellite', 'Weather']","['multiple linear regression (MLR)', 'ANN', 'RF']","['R²', 'RMSE', 'Nash-Sutcliffe efficiency']",True,19.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'standardized precipitation index (SPI)', 'rainfall anomaly index (RAI)', 'drought area index (DAI)', 'decile index (DI)', 'SPEI', 'reconnaissance drought index (RDI)']",,"['NAI', 'VCI', 'NDWIA']",,['District']
Estimating Farm Wheat Yields from NDVI and Meteorological Data,"['A Vannoppen', 'A Gobin']",2021.0,Agronomy (MDPI),[url](https://www.mdpi.com/2073-4395/11/5/946),['Wheat'],['Belgium'],"['Satellite', 'Weather']",['RF'],"['R²', 'MSE']",False,64.0,"['precipitation', 'maximum temperature']",,['NDVI'],,"['Field', 'Farm']"
Estimating Soybean Yields Using Causal Inference and Deep Learning Approaches With Satellite Remote Sensing Data,"['F Wang', 'J Li', 'D Peng', 'Q Yi', 'X Zhang', 'J Zheng', 'et al.']",2024.0,Journal of Selected Topics in Applied Earth Observations and Remote Sensing (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/10614767),['Soybean'],['USA'],"['Satellite', 'Weather']","['transformer', 'LSTM', 'RF', 'LASSO', 'DNN']","['R²', 'RMSE', 'relative RMSE (RRMSE)']",True,10.0,"['growing degree days (GDD)', 'killing degree days (KDD)', 'accumulated precipitation']",,['EVI'],,['County']
Estimation of district-level spring barley yield in southern Sweden using multi-source satellite data and random forest approach,"['X Li', 'H Jin', 'L Eklundh', 'E Bouras', 'P Olsson', 'Z Cai', 'J Ardö', 'Z Duan']",2024.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1569843224005399),['Barley'],['Sweden'],"['Satellite', 'Weather']",['RF'],"['R²', 'RMSE']",False,10.0,"['evapotranspiration (ET)', 'temperature', 'precipitation']",,"['NDVI', 'SIF', 'plant phenology index (PPI)']",,['District']
Estimation Winter Wheat Crop Yield through Multi-Modal Analysis using Satellite Imagery and Meteorological Data,"['Y Li', 'S Dhelim', 'M Kechadi']",2024.0,IEEE International Conference on Knowledge Graph (Proceedings),[url](https://ieeexplore.ieee.org/abstract/document/10884277),['Wheat'],['United Kingdom'],"['Satellite', 'Weather', 'Crop phenology', 'Topography', 'Soil']","['support vector regression (SVR)', 'RF', 'gradient boosting (GB)', 'AdaBoost', 'histogram-based gradient boosting regression', 'Exponential Functions Least Squares Matrix (EFLSM)']","['RMSE', 'R²']",False,0.0,"['temperature', 'precipitation', 'wind speed', 'humidity', 'solar radiation']",['soil type'],"['NDVI', 'NDRE', 'EVI', 'NMDI', 'GNDVI', 'GDVI', 'GVMI', 'normalised differential moisture index (NDMI)', 'NDII']",['elevation'],['Field']
Evaluating Remote Sensing Resolutions and Machine Learning Methods for Biomass Yield Prediction in Northern Great Plains Pastures,"['S Subhashree', 'C Igathinathane', 'J Hendrickson', 'D Archer', 'M Liebig', 'J Halvorson', 'et al.']",2025.0,Agriculture (MDPI),[url](https://www.mdpi.com/2077-0472/15/5/505),"['Grassland', 'Alfalfa']",['USA'],"['Satellite', 'Weather']","['multiple linear regression (MLR)', 'RF', 'support vector regression (SVR)', 'KNN']","['R²', 'RMSE']",False,0.0,"['bare soil temperature', 'turf soil temperature', 'wind speed', 'dew point temperature', 'wind chill', 'solar radiation', 'Potential Evapotranspiration (PET)', 'precipitation', 'mean temperature']",,"['visible bands (RGB)', 'NIR', 'SWIR', 'red chromatic coordinate (RCC)', 'green chromatic coordinate (GCC)', 'blue chromatic cordinate (BCC)', 'excess green (EXG)', 'normalized excess green (EXG2)', 'excess green minus exces red (EXGR)', 'GRVI', 'green-blue VI (GBVI)', 'blue-red VI (BRVI)', 'green-red ratio (G/R)', 'green-red difference (G-R)', 'blue-green difference (B-G)', 'visible-band difference VI (VDVI)', 'Visible Atmospherically Resistant Index (VARI)', 'modified green-red VI (MGRVI)', 'colour-index of vegetation (CIVE)', 'Woebbecke index (WI)', 'coloration index (CI)', 'NDVI', 'GNDVI', 'SAVI', 'modified SAVI (MSAVI)', 'EVI', 'normalised differential moisture index (NDMI)', 'green atmospherically resistance VI (GARI)', 'simple ratio (SR)', 'ARVI', 'green chlorophyll index (GCI)', 'Structure Insensitive Pigment Index (SIPI)']",,['Pixel/Subfield']
"Evaluation of Different Modelling Techniques with Fusion of Satellite, Soil and Agro-Meteorological Data for the Assessment of Durum Wheat Yield under a Large Scale Application","['E Lekakis', 'A Zaikos', 'A Polychronidis', 'C Efthimiou', 'I Pourikas', 'T Mamouka']",2022.0,Agriculture (MDPI),[url](https://www.mdpi.com/2077-0472/12/10/1635),['Wheat'],['Greece'],"['Satellite', 'Weather', 'Soil', 'Farm management']","['linear regression', 'XGBoost', 'RF', 'decision tree', 'LASSO', 'ridge regression (RR)', 'support vector regression (SVR)', 'KNN', 'Gradient-Boosting Decision Tree', 'AquaCrop']","['R²', 'RMSE', 'normalized RMSE', 'model efficiency (ME)', 'bias', 'Willmott’s index of agreement']",True,6.0,"['temperature', 'maximum temperature', 'minimum temperature', 'growing degree days (GDD)', 'reference evapotranspiration']","['clay content', 'silt content', 'sand content', 'bulk density', 'organic carbon content', 'field capacity', 'permanent wilting point', 'saturated hydraulic conductivity']","['NDVI', 'GreenWDRVI', 'LAI', 'canopy cover']",['Irrigation use'],"['Pixel/Subfield', 'Unclear', 'Field']"
Evaluation of soil-dependent crop yield outcomes in Nepal using ground and satellite-based approaches,"['J Campolo', 'D Güerena', 'S Maharjan', 'D Lobell']",2021.0,Field Crops Research,[url](https://www.sciencedirect.com/science/article/pii/S0378429020312715),['Wheat'],['Nepal'],"['Satellite', 'Soil', 'Farm management']","['Scalable Crop Yield Mapper (SCYM)', 'OLS']",['R²'],False,25.0,"['minimum temperature', 'maximum temperature', 'land surface temperature', 'diurnal temperature', 'precipitation', 'emissivity', 'Downward surface shortwave radiation', 'mean temperature']","['clay content', 'boron content', 'organic matter content', 'phosporus', 'pH', 'sand content', 'nitrogen content', 'zinc content']","['visible bands (RGB)', 'NIR', 'SWIR', 'Red Edge', 'GCVI', 'RDGCVI1']","['Field size', 'Fertilizer type', 'Fertilizer amount', 'Crop variety', 'Crop source', 'Planting dates', 'Harvest dates', 'Irrigation use', 'Herbicide usage', 'Pesticide usage', 'Soil texture (subjective)']",['Pixel/Subfield']
